geneid	chr	s1	s2
ENSG00000132622	20	3732685	3732685
ENSG00000101220	20	3768387	3768387
ENSG00000101222	20	3781448	3781448
ENSG00000125817	20	3786740	3786740
ENSG00000101224	20	3786772	3786772
ENSG00000275491	20	3808357	3808357
ENSG00000125843	20	3820524	3820524
ENSG00000088888	20	3846799	3846799
ENSG00000229539	20	3888868	3888868
ENSG00000125779	20	3888839	3888839
ENSG00000275582	20	3923400	3923400
ENSG00000101236	20	4015558	4015558
ENSG00000205300	20	4075165	4075165
ENSG00000088826	20	4120980	4120980
ENSG00000230176	20	4192932	4192932
ENSG00000171873	20	4249287	4249287
ENSG00000236387	20	4431732	4431732
ENSG00000238282	20	4475638	4475638
ENSG00000171867	20	4686350	4686350
ENSG00000171864	20	4721909	4721909
ENSG00000180259	20	4740668	4740668
ENSG00000278595	20	4761300	4761300
ENSG00000101265	20	4823608	4823608
ENSG00000089057	20	5010293	5010293
ENSG00000277087	20	5046276	5046276
ENSG00000276768	20	5050321	5050321
ENSG00000278816	20	5061340	5061340
ENSG00000277425	20	5068154	5068154
ENSG00000089063	20	5113103	5113103
ENSG00000132646	20	5126626	5126626
ENSG00000101290	20	5126879	5126879
ENSG00000101292	20	5314369	5314369
ENSG00000266908	20	5318268	5318268
ENSG00000276688	20	5407564	5407564
ENSG00000226995	20	5471094	5471094
ENSG00000230563	20	5445838	5445838
ENSG00000205181	20	5526709	5526709
ENSG00000225640	20	5510002	5510002
ENSG00000235820	20	5533628	5533628
ENSG00000125772	20	5611006	5611006
ENSG00000171984	20	5750393	5750393
ENSG00000089199	20	5911510	5911510
ENSG00000089195	20	5950558	5950558
ENSG00000125885	20	5950652	5950652
ENSG00000278719	20	6005821	6005821
ENSG00000275632	20	6000418	6000418
ENSG00000088766	20	6006093	6006093
ENSG00000125872	20	6054060	6054060
ENSG00000278192	20	6067897	6067897
ENSG00000101311	20	6123544	6123544
ENSG00000229876	20	6446723	6446723
ENSG00000228482	20	6736326	6736326
ENSG00000125845	20	6767686	6767686
ENSG00000232271	20	7069614	7069614
ENSG00000228888	20	7254202	7254202
ENSG00000238102	20	7258323	7258323
ENSG00000261249	20	7307432	7307432
ENSG00000224711	20	7347451	7347451
ENSG00000101323	20	7940458	7940458
ENSG00000125827	20	8019805	8019805
ENSG00000229766	20	8019180	8019180
ENSG00000182621	20	8077251	8077251
ENSG00000225479	20	8248704	8248704
ENSG00000101333	20	9068763	9068763
ENSG00000225988	20	9514998	9514998
ENSG00000125869	20	9514358	9514358
ENSG00000101349	20	9839041	9839041
ENSG00000286740	20	9562941	9562941
ENSG00000232738	20	9575608	9575608
ENSG00000286470	20	9835556	9835556
ENSG00000243961	20	9986088	9986088
ENSG00000132623	20	9986126	9986126
ENSG00000227906	20	10368776	10368776
ENSG00000230506	20	10172522	10172522
ENSG00000232448	20	10172701	10172701
ENSG00000132639	20	10218830	10218830
ENSG00000286936	20	10318753	10318753
ENSG00000125863	20	10434222	10434222
ENSG00000285508	20	10431922	10431922
ENSG00000285723	20	10420737	10420737
ENSG00000149346	20	10435305	10435305
ENSG00000101384	20	10673999	10673999
ENSG00000270792	20	10672695	10672695
ENSG00000224961	20	10696949	10696949
ENSG00000234900	20	10765286	10765286
ENSG00000232900	20	10909279	10909279
ENSG00000125899	20	10996293	10996293
ENSG00000270777	20	11001304	11001304
ENSG00000230990	20	11301525	11301525
ENSG00000282478	20	11541647	11541647
ENSG00000287754	20	11581335	11581335
ENSG00000261411	20	11687323	11687323
ENSG00000228422	20	11878429	11878429
ENSG00000132640	20	11890723	11890723
ENSG00000236526	20	11918677	11918677
ENSG00000235292	20	12318221	12318221
ENSG00000230437	20	12316485	12316485
ENSG00000233048	20	12952519	12952519
ENSG00000269931	20	12937097	12937097
ENSG00000286087	20	12936262	12936262
ENSG00000234265	20	12950288	12950288
ENSG00000172296	20	13008972	13008972
ENSG00000101230	20	13221274	13221274
ENSG00000226263	20	13239674	13239674
ENSG00000225956	20	13245369	13245369
ENSG00000278153	20	13368703	13368703
ENSG00000089123	20	13638932	13638932
ENSG00000089048	20	13784886	13784886
ENSG00000101247	20	13785007	13785007
ENSG00000101251	20	13996443	13996443
ENSG00000172264	20	13995369	13995369
ENSG00000125848	20	14337614	14337614
ENSG00000287062	20	14523314	14523314
ENSG00000227927	20	14554384	14554384
ENSG00000235914	20	14929528	14929528
ENSG00000237832	20	14935363	14935363
ENSG00000225181	20	15552885	15552885
ENSG00000286546	20	15985876	15985876
ENSG00000287410	20	16259603	16259603
ENSG00000089177	20	16573434	16573434
ENSG00000273998	20	16576068	16576068
ENSG00000275728	20	16580258	16580258
ENSG00000228809	20	16730948	16730948
ENSG00000125870	20	16729961	16729961
ENSG00000125879	20	16748358	16748358
ENSG00000236985	20	16864148	16864148
ENSG00000286571	20	17221913	17221913
ENSG00000287241	20	17226146	17226146
ENSG00000125851	20	17226107	17226107
ENSG00000125864	20	17569220	17569220
ENSG00000277373	20	17565851	17565851
ENSG00000125868	20	17570075	17570075
ENSG00000125844	20	17682295	17682295
ENSG00000125888	20	17693672	17693672
ENSG00000233625	20	17888160	17888160
ENSG00000089006	20	17968980	17968980
ENSG00000125850	20	18059188	18059188
ENSG00000125871	20	17969018	17969018
ENSG00000229262	20	18059493	18059493
ENSG00000232838	20	18137863	18137863
ENSG00000149474	20	18138118	18138118
ENSG00000287954	20	18271069	18271069
ENSG00000125846	20	18288283	18288283
ENSG00000230010	20	18359300	18359300
ENSG00000237259	20	18315111	18315111
ENSG00000237282	20	18379049	18379049
ENSG00000089091	20	18467281	18467281
ENSG00000132664	20	18467389	18467389
ENSG00000089050	20	18497225	18497225
ENSG00000101310	20	18507520	18507520
ENSG00000232388	20	18567347	18567347
ENSG00000125821	20	18587893	18587893
ENSG00000233993	20	18698709	18698709
ENSG00000179935	20	18794579	18794579
ENSG00000273148	20	18794529	18794529
ENSG00000149443	20	18830153	18830153
ENSG00000132631	20	18813783	18813783
ENSG00000274863	20	19056796	19056796
ENSG00000287430	20	19212164	19212164
ENSG00000185052	20	19212642	19212642
ENSG00000235996	20	19213477	19213477
ENSG00000179447	20	19284596	19284596
ENSG00000232675	20	19697576	19697576
ENSG00000268628	20	19758037	19758037
ENSG00000132669	20	19757606	19757606
ENSG00000173418	20	20017310	20017310
ENSG00000101343	20	20056046	20056046
ENSG00000089101	20	20052514	20052514
ENSG00000241054	20	20095684	20095684
ENSG00000225417	20	20215262	20215262
ENSG00000243810	20	20267809	20267809
ENSG00000173404	20	20368104	20368104
ENSG00000188559	20	20712644	20712644
ENSG00000234104	20	20970448	20970448
ENSG00000225127	20	21106514	21106514
ENSG00000283405	20	21089696	21089696
ENSG00000088970	20	21125983	21125983
ENSG00000228604	20	21162890	21162890
ENSG00000232712	20	21218289	21218289
ENSG00000275457	20	21303704	21303704
ENSG00000088930	20	21303331	21303331
ENSG00000125816	20	21397526	21397526
ENSG00000225280	20	21397740	21397740
ENSG00000278041	20	21502934	21502934
ENSG00000125820	20	21514064	21514064
ENSG00000258197	20	21511447	21511447
ENSG00000233492	20	21530122	21530122
ENSG00000279082	20	21569976	21569976
ENSG00000280350	20	21703585	21703585
ENSG00000125813	20	21705659	21705659
ENSG00000238034	20	21947647	21947647
ENSG00000234435	20	22054074	22054074
ENSG00000234862	20	22220554	22220554
ENSG00000225321	20	22284029	22284029
ENSG00000204684	20	22471557	22471557
ENSG00000259974	20	22578642	22578642
ENSG00000125798	20	22585455	22585455
ENSG00000237396	20	22607517	22607517
ENSG00000230400	20	22685344	22685344
ENSG00000283072	20	22684958	22684958
ENSG00000230492	20	23030785	23030785
ENSG00000234646	20	23030863	23030863
ENSG00000132671	20	23035386	23035386
ENSG00000178726	20	23049741	23049741
ENSG00000125810	20	23086324	23086324
ENSG00000233746	20	23132635	23132635
ENSG00000230387	20	23179272	23179272
ENSG00000277901	20	23325352	23325352
ENSG00000234832	20	23351486	23351486
ENSG00000132661	20	23350791	23350791
ENSG00000232645	20	23358116	23358116
ENSG00000125812	20	23362182	23362182
ENSG00000125814	20	23421519	23421519
ENSG00000125823	20	23439685	23439685
ENSG00000125831	20	23452876	23452876
ENSG00000273838	20	23452623	23452623
ENSG00000260202	20	23519054	23519054
ENSG00000276638	20	23489973	23489973
ENSG00000125815	20	23491101	23491101
ENSG00000101435	20	23568484	23568484
ENSG00000173335	20	23605876	23605876
ENSG00000101439	20	23638473	23638473
ENSG00000270001	20	23632316	23632316
ENSG00000225056	20	23656390	23656390
ENSG00000286117	20	23656151	23656151
ENSG00000101441	20	23689040	23689040
ENSG00000286270	20	23722589	23722589
ENSG00000170373	20	23751268	23751268
ENSG00000230908	20	23798092	23798092
ENSG00000170369	20	23826729	23826729
ENSG00000170367	20	23879748	23879748
ENSG00000149435	20	23988779	23988779
ENSG00000230133	20	24063255	24063255
ENSG00000236151	20	24144386	24144386
ENSG00000232200	20	24318086	24318086
ENSG00000101463	20	24469629	24469629
ENSG00000228539	20	24502345	24502345
ENSG00000231015	20	24679547	24679547
ENSG00000274173	20	24931840	24931840
ENSG00000077984	20	24949269	24949269
ENSG00000101474	20	24992751	24992751
ENSG00000286444	20	24992312	24992312
ENSG00000154930	20	25058980	25058980
ENSG00000275358	20	25063591	25063591
ENSG00000100987	20	25082365	25082365
ENSG00000230725	20	25149372	25149372
ENSG00000286472	20	25187849	25187849
ENSG00000197586	20	25195693	25195693
ENSG00000277938	20	25229150	25229150
ENSG00000274414	20	25245229	25245229
ENSG00000100994	20	25248085	25248085
ENSG00000274507	20	25251304	25251304
ENSG00000276952	20	25285588	25285588
ENSG00000100997	20	25390835	25390835
ENSG00000101003	20	25407673	25407673
ENSG00000101004	20	25585531	25585531
ENSG00000170191	20	25624014	25624014
ENSG00000213742	20	25624045	25624045
ENSG00000130684	20	25696853	25696853
ENSG00000278383	20	25680781	25680781
ENSG00000226465	20	25697003	25697003
ENSG00000175170	20	25868225	25868225
ENSG00000226203	20	25955795	25955795
ENSG00000125804	20	25985210	25985210
ENSG00000231081	20	26010531	26010531
ENSG00000287569	20	26009792	26009792
ENSG00000230440	20	26134198	26134198
ENSG00000287211	20	26135983	26135983
ENSG00000227195	20	26251546	26251546
ENSG00000238129	20	26188408	26188408
ENSG00000287889	20	29548661	29548661
ENSG00000205611	20	30289956	30289956
ENSG00000286483	20	30281837	30281837
ENSG00000287288	20	30294550	30294550
ENSG00000231934	20	30362276	30362276
ENSG00000215547	20	31257664	31257664
ENSG00000215545	20	31308585	31308585
ENSG00000131068	20	31368601	31368601
ENSG00000180483	20	31390590	31390590
ENSG00000204548	20	31412838	31412838
ENSG00000180424	20	31440632	31440632
ENSG00000180383	20	31476757	31476757
ENSG00000088320	20	31475288	31475288
ENSG00000233354	20	31485778	31485778
ENSG00000101294	20	31514410	31514410
ENSG00000274364	20	31535263	31535263
ENSG00000101898	20	31547412	31547412
ENSG00000235313	20	31563166	31563166
ENSG00000230613	20	31573263	31573263
ENSG00000278276	20	31580890	31580890
ENSG00000125968	20	31605283	31605283
ENSG00000131055	20	31637912	31637912
ENSG00000171552	20	31723989	31723989
ENSG00000236559	20	31686216	31686216
ENSG00000281376	20	31721507	31721507
ENSG00000088325	20	31739271	31739271
ENSG00000101306	20	31819308	31819308
ENSG00000179772	20	31845604	31845604
ENSG00000149599	20	31870747	31870747
ENSG00000131044	20	31870702	31870702
ENSG00000088356	20	31952046	31952046
ENSG00000260903	20	31968151	31968151
ENSG00000278012	20	31970181	31970181
ENSG00000226239	20	32031591	32031591
ENSG00000101331	20	32010438	32010438
ENSG00000101336	20	32052188	32052188
ENSG00000101337	20	32109714	32109714
ENSG00000275576	20	32116171	32116171
ENSG00000126003	20	32207743	32207743
ENSG00000101346	20	32207880	32207880
ENSG00000287850	20	32277510	32277510
ENSG00000101350	20	32277651	32277651
ENSG00000277692	20	32355053	32355053
ENSG00000171456	20	32358330	32358330
ENSG00000197183	20	32585074	32585074
ENSG00000236772	20	32449755	32449755
ENSG00000286311	20	32485149	32485149
ENSG00000277301	20	32509959	32509959
ENSG00000233293	20	32561093	32561093
ENSG00000204393	20	32564992	32564992
ENSG00000228156	20	32581963	32581963
ENSG00000198547	20	32673941	32673941
ENSG00000149600	20	32743997	32743997
ENSG00000088305	20	32762385	32762385
ENSG00000101367	20	32819954	32819954
ENSG00000260536	20	32854257	32854257
ENSG00000260257	20	32856621	32856621
ENSG00000215529	20	32858923	32858923
ENSG00000167098	20	33004433	33004433
ENSG00000078898	20	33007704	33007704
ENSG00000167104	20	33031648	33031648
ENSG00000186190	20	33055424	33055424
ENSG00000186191	20	33079644	33079644
ENSG00000131050	20	33161768	33161768
ENSG00000224876	20	33217067	33217067
ENSG00000131059	20	33217310	33217310
ENSG00000198183	20	33235995	33235995
ENSG00000125999	20	33273480	33273480
ENSG00000101391	20	33401561	33401561
ENSG00000101400	20	33443892	33443892
ENSG00000078699	20	33490075	33490075
ENSG00000275223	20	33656423	33656423
ENSG00000125967	20	33674463	33674463
ENSG00000149609	20	33662327	33662327
ENSG00000182584	20	33666943	33666943
ENSG00000271803	20	33674517	33674517
ENSG00000101412	20	33686385	33686385
ENSG00000101417	20	33720319	33720319
ENSG00000229188	20	33731828	33731828
ENSG00000131061	20	33731657	33731657
ENSG00000230753	20	33811109	33811109
ENSG00000101421	20	33811348	33811348
ENSG00000285230	20	33994357	33994357
ENSG00000125970	20	33993646	33993646
ENSG00000228386	20	34017749	34017749
ENSG00000125977	20	34112243	34112243
ENSG00000287853	20	34132270	34132270
ENSG00000101440	20	34194569	34194569
ENSG00000250917	20	34281173	34281173
ENSG00000101444	20	34311802	34311802
ENSG00000272945	20	34286466	34286466
ENSG00000078747	20	34363241	34363241
ENSG00000236388	20	34442025	34442025
ENSG00000231795	20	34450930	34450930
ENSG00000277558	20	34476205	34476205
ENSG00000125971	20	34516409	34516409
ENSG00000101460	20	34546854	34546854
ENSG00000101464	20	34698790	34698790
ENSG00000198646	20	34825651	34825651
ENSG00000078804	20	34704339	34704339
ENSG00000286803	20	34741401	34741401
ENSG00000131067	20	34872856	34872856
ENSG00000131069	20	34872146	34872146
ENSG00000100983	20	34956027	34956027
ENSG00000078814	20	34975403	34975403
ENSG00000100991	20	35092807	35092807
ENSG00000088298	20	35147336	35147336
ENSG00000101000	20	35172072	35172072
ENSG00000278367	20	35174919	35174919
ENSG00000126005	20	35278131	35278131
ENSG00000125966	20	35226690	35226690
ENSG00000242372	20	35284985	35284985
ENSG00000235214	20	35285251	35285251
ENSG00000125998	20	35292425	35292425
ENSG00000101019	20	35412031	35412031
ENSG00000204183	20	35433029	35433029
ENSG00000125965	20	35454746	35454746
ENSG00000126001	20	35455164	35455164
ENSG00000230155	20	35490982	35490982
ENSG00000125975	20	35529652	35529652
ENSG00000125991	20	35542021	35542021
ENSG00000061656	20	35615829	35615829
ENSG00000214078	20	35664956	35664956
ENSG00000244462	20	35664956	35664956
ENSG00000244005	20	35699355	35699355
ENSG00000125995	20	35699272	35699272
ENSG00000131051	20	35742312	35742312
ENSG00000025293	20	35771974	35771974
ENSG00000171222	20	35959472	35959472
ENSG00000149646	20	35954564	35954564
ENSG00000260032	20	36051018	36051018
ENSG00000234139	20	36051491	36051491
ENSG00000277235	20	36064563	36064563
ENSG00000237063	20	36088192	36088192
ENSG00000088367	20	36091504	36091504
ENSG00000232406	20	36155760	36155760
ENSG00000278035	20	36233851	36233851
ENSG00000131043	20	36236459	36236459
ENSG00000080845	20	36306336	36306336
ENSG00000232907	20	36573391	36573391
ENSG00000101335	20	36541497	36541497
ENSG00000118707	20	36573488	36573488
ENSG00000101084	20	36605779	36605779
ENSG00000101082	20	36646196	36646196
ENSG00000101079	20	36746090	36746090
ENSG00000149636	20	36773818	36773818
ENSG00000149639	20	36863538	36863538
ENSG00000101342	20	36876121	36876121
ENSG00000101347	20	36951901	36951901
ENSG00000080839	20	37095997	37095997
ENSG00000269846	20	37095785	37095785
ENSG00000101353	20	37179588	37179588
ENSG00000118705	20	37178410	37178410
ENSG00000118702	20	37261835	37261835
ENSG00000101363	20	37289638	37289638
ENSG00000286240	20	37344109	37344109
ENSG00000197122	20	37344685	37344685
ENSG00000166619	20	37527931	37527931
ENSG00000053438	20	37521206	37521206
ENSG00000276603	20	37527060	37527060
ENSG00000274469	20	37571103	37571103
ENSG00000225759	20	37623119	37623119
ENSG00000204117	20	37676889	37676889
ENSG00000132792	20	37693955	37693955
ENSG00000132821	20	37903111	37903111
ENSG00000101407	20	38033461	38033461
ENSG00000101413	20	38033725	38033725
ENSG00000277550	20	38104961	38104961
ENSG00000198959	20	38166578	38166578
ENSG00000149633	20	38260772	38260772
ENSG00000277829	20	38233799	38233799
ENSG00000285347	20	38260175	38260175
ENSG00000285100	20	38270778	38270778
ENSG00000206249	20	38326536	38326536
ENSG00000101425	20	38304123	38304123
ENSG00000129988	20	38346482	38346482
ENSG00000275285	20	38378825	38378825
ENSG00000224635	20	38416797	38416797
ENSG00000275401	20	38419202	38419202
ENSG00000196756	20	38435409	38435409
ENSG00000174365	20	38446343	38446343
ENSG00000170471	20	38472816	38472816
ENSG00000182035	20	38581195	38581195
ENSG00000124143	20	38601934	38601934
ENSG00000101438	20	38724486	38724486
ENSG00000101442	20	38748460	38748460
ENSG00000101445	20	38805697	38805697
ENSG00000101447	20	38926312	38926312
ENSG00000274825	20	38955910	38955910
ENSG00000261431	20	38962111	38962111
ENSG00000101452	20	38962299	38962299
ENSG00000277581	20	38962472	38962472
ENSG00000230324	20	39224748	39224748
ENSG00000287983	20	39233836	39233836
ENSG00000286083	20	39663552	39663552
ENSG00000229976	20	39757202	39757202
ENSG00000237767	20	40004216	40004216
ENSG00000233415	20	40031585	40031585
ENSG00000223410	20	40121041	40121041
ENSG00000204103	20	40689236	40689236
ENSG00000229771	20	40698616	40698616
ENSG00000286972	20	40717257	40717257
ENSG00000198900	20	41028822	41028822
ENSG00000226648	20	41138003	41138003
ENSG00000124181	20	41136960	41136960
ENSG00000174306	20	41317672	41317672
ENSG00000132793	20	41340920	41340920
ENSG00000183798	20	41366818	41366818
ENSG00000124177	20	41618384	41618384
ENSG00000273951	20	41486225	41486225
ENSG00000225458	20	41991140	41991140
ENSG00000228959	20	42015478	42015478
ENSG00000196090	20	43189970	43189970
ENSG00000229042	20	42685404	42685404
ENSG00000227599	20	42968743	42968743
ENSG00000233508	20	43189998	43189998
ENSG00000124193	20	43457893	43457893
ENSG00000185513	20	43489442	43489442
ENSG00000226143	20	43550949	43550949
ENSG00000101049	20	43558968	43558968
ENSG00000282876	20	43590596	43590596
ENSG00000101052	20	43590937	43590937
ENSG00000101057	20	43667019	43667019
ENSG00000124196	20	43727002	43727002
ENSG00000233277	20	43894720	43894720
ENSG00000124191	20	43914852	43914852
ENSG00000149596	20	44187578	44187578
ENSG00000287570	20	44181111	44181111
ENSG00000132823	20	44210771	44210771
ENSG00000223891	20	44210907	44210907
ENSG00000124194	20	44247099	44247099
ENSG00000197296	20	44311202	44311202
ENSG00000101074	20	44336986	44336986
ENSG00000226812	20	44355185	44355185
ENSG00000101076	20	44355700	44355700
ENSG00000229005	20	44395706	44395706
ENSG00000233376	20	44391537	44391537
ENSG00000168746	20	44465349	44465349
ENSG00000124120	20	44475874	44475874
ENSG00000132824	20	44522085	44522085
ENSG00000168734	20	44531785	44531785
ENSG00000196839	20	44652233	44652233
ENSG00000283440	20	44663498	44663498
ENSG00000244558	20	44746021	44746021
ENSG00000064205	20	44714844	44714844
ENSG00000124249	20	44745865	44745865
ENSG00000276223	20	44746642	44746642
ENSG00000101098	20	44810338	44810338
ENSG00000286100	20	44885604	44885604
ENSG00000166913	20	44885702	44885702
ENSG00000101104	20	44910062	44910062
ENSG00000025772	20	44960397	44960397
ENSG00000227477	20	44966402	44966402
ENSG00000101109	20	44966479	44966479
ENSG00000124134	20	45101127	45101127
ENSG00000175121	20	45115172	45115172
ENSG00000168703	20	45124465	45124465
ENSG00000124102	20	45174902	45174902
ENSG00000124233	20	45207033	45207033
ENSG00000124157	20	45221373	45221373
ENSG00000124107	20	45254564	45254564
ENSG00000124159	20	45308529	45308529
ENSG00000124232	20	45306840	45306840
ENSG00000124145	20	45348424	45348424
ENSG00000275894	20	45345823	45345823
ENSG00000204070	20	45361937	45361937
ENSG00000124251	20	45407889	45407889
ENSG00000244274	20	45406057	45406057
ENSG00000124155	20	45416084	45416084
ENSG00000277022	20	45448325	45448325
ENSG00000101443	20	45469753	45469753
ENSG00000237464	20	45487613	45487613
ENSG00000101446	20	45515622	45515622
ENSG00000243543	20	45539495	45539495
ENSG00000101448	20	45547752	45547752
ENSG00000158901	20	45579326	45579326
ENSG00000180205	20	45631284	45631284
ENSG00000180305	20	45629739	45629739
ENSG00000180083	20	45670270	45670270
ENSG00000182931	20	45705019	45705019
ENSG00000168634	20	45702038	45702038
ENSG00000149651	20	45722347	45722347
ENSG00000124116	20	45791932	45791932
ENSG00000101457	20	45791954	45791954
ENSG00000175063	20	45812576	45812576
ENSG00000101470	20	45833745	45833745
ENSG00000124104	20	45833799	45833799
ENSG00000101473	20	45857405	45857405
ENSG00000132801	20	45857614	45857614
ENSG00000168612	20	45881227	45881227
ENSG00000149634	20	45887635	45887635
ENSG00000124257	20	45891287	45891287
ENSG00000064601	20	45890144	45890144
ENSG00000271984	20	45893419	45893419
ENSG00000100979	20	45912155	45912155
ENSG00000285796	20	45935055	45935055
ENSG00000100982	20	45934683	45934683
ENSG00000198026	20	45972203	45972203
ENSG00000100985	20	46008908	46008908
ENSG00000204044	20	46022073	46022073
ENSG00000124140	20	46021690	46021690
ENSG00000124160	20	46089962	46089962
ENSG00000101017	20	46118278	46118278
ENSG00000229957	20	46171237	46171237
ENSG00000149654	20	46308498	46308498
ENSG00000080189	20	46364458	46364458
ENSG00000273828	20	46364551	46364551
ENSG00000062598	20	46432985	46432985
ENSG00000198185	20	46513559	46513559
ENSG00000149635	20	46550654	46550654
ENSG00000158296	20	46684467	46684467
ENSG00000273893	20	46682375	46682375
ENSG00000172315	20	46689444	46689444
ENSG00000271784	20	46689659	46689659
ENSG00000197496	20	46709649	46709649
ENSG00000064655	20	46894624	46894624
ENSG00000236028	20	46901726	46901726
ENSG00000101040	20	47356889	47356889
ENSG00000267882	20	47318502	47318502
ENSG00000273451	20	47349142	47349142
ENSG00000231119	20	47352561	47352561
ENSG00000224565	20	47412327	47412327
ENSG00000124151	20	47501887	47501887
ENSG00000196562	20	47786616	47786616
ENSG00000255438	20	47677901	47677901
ENSG00000234967	20	47950797	47950797
ENSG00000228503	20	47958022	47958022
ENSG00000287443	20	47974137	47974137
ENSG00000237423	20	47990127	47990127
ENSG00000229522	20	47983404	47983404
ENSG00000286179	20	48022237	48022237
ENSG00000287335	20	48025245	48025245
ENSG00000276923	20	48073869	48073869
ENSG00000287107	20	48120269	48120269
ENSG00000288083	20	48275392	48275392
ENSG00000286063	20	48367976	48367976
ENSG00000235621	20	48359884	48359884
ENSG00000236874	20	48384895	48384895
ENSG00000274261	20	48406777	48406777
ENSG00000281365	20	48471308	48471308
ENSG00000281460	20	48476999	48476999
ENSG00000124126	20	48827999	48827999
ENSG00000286159	20	48657073	48657073
ENSG00000278231	20	48849458	48849458
ENSG00000124198	20	48921711	48921711
ENSG00000227431	20	49046168	49046168
ENSG00000124207	20	49046246	49046246
ENSG00000124214	20	49188367	49188367
ENSG00000124228	20	49219295	49219295
ENSG00000124201	20	49278426	49278426
ENSG00000177410	20	49278178	49278178
ENSG00000158445	20	49484297	49484297
ENSG00000124212	20	49568137	49568137
ENSG00000158470	20	49713878	49713878
ENSG00000197818	20	49812713	49812713
ENSG00000158480	20	49915529	49915529
ENSG00000124226	20	49936336	49936336
ENSG00000124216	20	49982980	49982980
ENSG00000231265	20	50041504	50041504
ENSG00000244687	20	50115959	50115959
ENSG00000240849	20	50153734	50153734
ENSG00000237595	20	50166216	50166216
ENSG00000234698	20	50166362	50166362
ENSG00000231742	20	50171809	50171809
ENSG00000277449	20	50191498	50191498
ENSG00000172216	20	50190830	50190830
ENSG00000224397	20	50247643	50247643
ENSG00000203999	20	50292709	50292709
ENSG00000233077	20	50321342	50321342
ENSG00000196396	20	50510321	50510321
ENSG00000232043	20	50578041	50578041
ENSG00000042062	20	50691542	50691542
ENSG00000234693	20	50645471	50645471
ENSG00000124171	20	50731580	50731580
ENSG00000124243	20	50794894	50794894
ENSG00000101126	20	50931437	50931437
ENSG00000259456	20	50930984	50930984
ENSG00000000419	20	50958555	50958555
ENSG00000124217	20	50958818	50958818
ENSG00000232358	20	50999370	50999370
ENSG00000026559	20	51023107	51023107
ENSG00000101096	20	51562831	51562831
ENSG00000054793	20	51768390	51768390
ENSG00000101115	20	51802521	51802521
ENSG00000227964	20	51862912	51862912
